scan,locus,chr,start,end,n_snp,tier,lead,p,maf,closest_gene,candidate_genes,n_genes_window
Control,Co-L15,4,31719218,31719218,1,suggestive(1/M),id4010922,2.51348960591648e-05,0.387648357615989,"LOC_Os04g53240(0kb,autophagy-related protein, putative, exp)","LOC_Os04g53310(32kb,soluble starch synthase 3, chloroplast p)",80
Control,Co-L16,4,33480064,33480064,1,significant(Meff),id4011683,3.11209263801372e-06,0.189684813753582,"LOC_Os04g56170(8kb,OsSPL8 - SBP-box gene family member, exp)","LOC_Os04g56130(52kb,protein kinase domain containing protein); LOC_Os04g56120(57kb,protein kinase domain containing protein); LOC_Os04g56110(59kb,protein kinase, putative, expressed)",72
Control,Co-L17,5,23930330,23930330,1,suggestive(1/M),id5010879,9.67691674460795e-06,0.286472309394946,"LOC_Os05g40810(1kb,BRCA1 C Terminus domain containing prote)","LOC_Os05g40790(7kb,CCR4-NOT transcription factor, putative,); LOC_Os05g40960(85kb,Myb transcription factor, putative, expr); LOC_Os05g41030(115kb,LTPL67 - Protease inhibitor/seed storage)",94
Control,Co-L18,5,25600654,25600654,1,significant(Meff),id5012134,6.27676417658966e-06,0.374247120051459,"LOC_Os05g44000(0kb,retrotransposon protein, putative, Ty3-g)","LOC_Os05g44030(15kb,protein kinase, putative, expressed); LOC_Os05g43920(39kb,auxin response factor 14, putative, expr); LOC_Os05g44180(67kb,osFTL10  FT-Like10 homologous to Floweri)",81
Control,Co-L19,5,27914133,27914133,1,significant(Meff),id5013730,9.89896720848444e-11,0.238460739047167,"LOC_Os05g48700(1kb,gibberellin 2-beta-dioxygenase, putative)","LOC_Os05g48700(1kb,gibberellin 2-beta-dioxygenase, putative); LOC_Os05g48690(12kb,transcription factor like protein, putat); LOC_Os05g48650(30kb,transcription factor HBP-1b, putative, e)",86
Control,Co-L20,5,29417401,29417401,1,suggestive(1/M),id5014910,8.65569628771536e-06,0.0988008065371962,"LOC_Os05g51280(0kb,transposon protein, putative, CACTA, En/)","LOC_Os05g51230(33kb,phosphatidylinositol 3- and 4-kinase fam); LOC_Os05g51190(53kb,protein kinase family protein, putative,); LOC_Os05g51400(64kb,protein kinase APK1B, chloroplast precur)",83
Control,Co-L21,6,817144,817144,1,significant(Meff),id6000580,3.42979326838187e-09,0.471196476597366,"LOC_Os06g02380(1kb,T-complex protein, putative, expressed)","LOC_Os06g02350(34kb,S-phase kinase-associated protein 1A, pu); LOC_Os06g02560(76kb,growth-regulating factor, putative, expr); LOC_Os06g02250(99kb,MYB family transcription factor, putativ)",88
Control,Co-L22,6,2929917,2929917,1,suggestive(1/M),id6002261,2.25788492338009e-05,0.30396370582617,"LOC_Os06g06310(0kb,expressed protein)","LOC_Os06g06300(1kb,osFTL3  FT-Like3 homologous to Flowering); LOC_Os06g06320(10kb,osFTL2  FT-Like2 homologous to Flowering); LOC_Os06g06340(18kb,LTPL20 - Protease inhibitor/seed storage)",90
Control,Co-L23,6,12826447,12826447,1,significant(Meff),id6007748,2.19858370912757e-07,0.429218918617199,"LOC_Os06g22100(0kb,DNA binding protein, putative, expressed)","LOC_Os06g21980(113kb,pantothenate kinase 4, putative, express)",72
Control,Co-L24,6,21286687,21286687,1,suggestive(1/M),id6011159,1.32813977518063e-05,0.400897953658371,"LOC_Os06g36320(4kb,receptor-like protein kinase 5 precursor)","LOC_Os06g36320(4kb,receptor-like protein kinase 5 precursor); LOC_Os06g36310(12kb,receptor-like protein kinase 5 precursor); LOC_Os06g36270(27kb,receptor-like protein kinase 5 precursor)",60
Control,Co-L25,7,18107,297053,5,significant(Meff),id7000011,2.63023244713791e-06,0.232733078172603,"LOC_Os07g01070(0kb,peptide transporter, putative, expressed)","LOC_Os07g01200(71kb,tetraacyldisaccharide 4-kinase, putative); LOC_Os07g01340(170kb,gibberellin 2-beta-dioxygenase 7, putati)",89
Control,Co-L26,7,22211316,22211316,1,suggestive(1/M),id7003709,1.70831469851455e-05,0.171510437986083,"LOC_Os07g37080(0kb,OsFBX256 - F-box domain containing prote)","LOC_Os07g37090(11kb,ribosome inactivating protein, putative,); LOC_Os07g37010(39kb,cyclin, putative, expressed); LOC_Os07g36980(69kb,TKL_IRAK_DUF26-ld.7 - DUF26 kinases have)",80
Control,Co-L27,7,28179783,28179783,1,suggestive(1/M),id7005646,9.17558910035374e-06,0.0960379409149294,"LOC_Os07g47120(0kb,beta-amylase, putative, expressed)","LOC_Os07g47230(49kb,TKL_IRAK_DUF26-lh.10 - DUF26 kinases hav); LOC_Os07g47270(70kb,protein kinase APK1B, chloroplast precur); LOC_Os07g46980(105kb,sex determination protein tasselseed-2, )",83
Control,Co-L28,8,5279331,5350650,2,significant(Meff),id8001636,3.37318567068691e-07,0.332806683983611,"LOC_Os08g09110(0kb,NB-ARC domain containing protein, expres)","LOC_Os08g09190(43kb,auxin efflux carrier component, putative); LOC_Os08g09230(73kb,starch synthase III, putative, expressed); LOC_Os08g09690(318kb,nuclear transcription factor Y subunit, )",96
Control,Co-L29,8,16970586,16970586,1,significant(Meff),id8004547,3.33019986196193e-06,0.447985026342546,"LOC_Os08g27840(0kb,phosphoenolpyruvate carboxylase, putativ)","LOC_Os08g27860(18kb,EARLY flowering protein, putative, expre); LOC_Os08g27870(24kb,EARLY flowering protein, putative, expre); LOC_Os08g27780(50kb,OsWAK77 - OsWAK receptor-like cytoplasmi)",79
Control,Co-L30,9,1548265,1548265,1,suggestive(1/M),id9000464,1.24123598814827e-05,0.162846227316141,"LOC_Os09g03210(0kb,expressed protein)","LOC_Os09g03610(242kb,flowering time control protein FCA, puta)",80
Control,Co-L31,9,19613790,19613790,1,significant(Meff),id9006995,3.09170194664304e-06,0.247145204786786,"LOC_Os09g32910(0kb,OsFBX337 - F-box domain containing prote)","LOC_Os09g32820(38kb,uridine/cytidine kinase-like 1, putative); LOC_Os09g32770(61kb,auxin efflux carrier component, putative); LOC_Os09g32984(78kb,auxin responsive protein, putative, expr)",81
Control,Co-L32,10,17940464,17940464,1,significant(Meff),ud10001031,2.51221139425123e-06,0.487825949230393,"LOC_Os10g33820(0kb,expressed protein)","LOC_Os10g33800(23kb,lactate/malate dehydrogenase, putative, ); LOC_Os10g33940(111kb,auxin response factor 18, putative, expr); LOC_Os10g33650(196kb,CK1_CaseinKinase_1.9 - CK1 includes the )",53
Control,Co-L33,11,19608063,19608063,1,significant(Meff),id11007609,1.95929422337243e-06,0.0959446408760406,"LOC_Os11g33134(7kb,expressed protein)","LOC_Os11g33000(98kb,SSA5 - 2S albumin seed storage family pr)",73
Control,Co-L34,12,13698953,13698953,1,significant(Meff),id12004896,8.24594106724306e-09,0.0654606623045232,"LOC_Os12g24080(0kb,HECT-domain domain containing protein, e)","LOC_Os12g24140(40kb,cyclin-dependent kinase G-2, putative, e); LOC_Os12g23950(87kb,cyclin-dependent kinase G-2, putative, e); LOC_Os12g23940(95kb,protein kinase domain containing protein)",65
Control,Co-L35,12,17276817,17276817,1,suggestive(1/M),id12005793,1.83867114516937e-05,0.211628999714388,"LOC_Os12g29180(1kb,expressed protein)","LOC_Os12g29160(9kb,LTPL105 - Protease inhibitor/seed storag); LOC_Os12g29040(80kb,LTPL111 - Protease inhibitor/seed storag); LOC_Os12g29300(91kb,CESA10 - cellulose synthase, expressed)",66
Control,Co-L36,12,27220875,27220875,1,suggestive(1/M),id12009987,1.37486618350853e-05,0.0753696275071633,"LOC_Os12g43850(0kb,retrotransposon protein, putative, uncla)","LOC_Os12g43790(23kb,bZIP transcription factor domain contain); LOC_Os12g43740(51kb,oxidoreductase, short chain dehydrogenas); LOC_Os12g43720(60kb,early-responsive to dehydration protein-)",82
LowWater,Lo-L01,1,7112699,7177869,3,significant(Meff),dd1000366,7.60236027875952e-07,0.242134435624031,"LOC_Os01g12860(0kb,MYB family transcription factor, putativ)","LOC_Os01g12860(0kb,MYB family transcription factor, putativ); LOC_Os01g12830(20kb,erythronate-4-phosphate dehydrogenase do); LOC_Os01g12790(38kb,receptor protein kinase, putative, expre)",76
LowWater,Lo-L02,1,28882361,28882361,1,suggestive(1/M),id1017035,8.94789250946043e-06,0.173453962953771,"LOC_Os01g50310(0kb,VIP1 protein, putative, expressed)","LOC_Os01g50360(31kb,NAC domain containing protein, putative,); LOC_Os01g50370(39kb,STE_MEKK_ste11_MAP3K.4 - STE kinases inc); LOC_Os01g50400(51kb,STE_MEKK_ste11_MAP3K.5 - STE kinases inc)",81
LowWater,Lo-L03,1,42396330,42396330,1,significant(Meff),dd1001865,3.38360008448813e-06,0.142879268953767,"LOC_Os01g73080(0kb,expressed protein)","LOC_Os01g73250(64kb,abscisic stress-ripening, putative, expr); LOC_Os01g72910(113kb,abscisic stress-ripening, putative, expr); LOC_Os01g72900(114kb,abscisic stress-ripening, putative, expr)",90
LowWater,Lo-L04,3,32434368,32434368,1,suggestive(1/M),id3015622,2.81301603079913e-05,0.393425268536424,"LOC_Os03g56950(0kb,phytochrome-interacting factor 4, putati)","LOC_Os03g57190(180kb,TCP family transcription factor, putativ); LOC_Os03g56470(249kb,protein kinase family protein, putative,)",92
LowWater,Lo-L05,3,33465353,33588257,2,significant(Meff),id3016406,4.408053975274e-06,0.152731170441569,"LOC_Os03g58990(0kb,cupin domain containing protein, express)","LOC_Os03g58940(21kb,LTPL83 - Protease inhibitor/seed storage); LOC_Os03g59152(98kb,lethal leaf spot 1, putative, expressed); LOC_Os03g58750(127kb,protein kinase domain containing protein)",106
LowWater,Lo-L06,3,34719445,34719445,1,significant(Meff),id3017084,4.61507640292461e-08,0.18153361359184,"LOC_Os03g61120(0kb,anthranilate synthase component I-1, chl)","LOC_Os03g61060(29kb,protein kinase domain containing protein); LOC_Os03g61030(45kb,transcription termination factor nusG fa); LOC_Os03g61010(51kb,protein kinase family protein, putative,)",98
LowWater,Lo-L07,4,10644526,10644526,1,suggestive(1/M),id4003380,2.53385281311702e-05,0.0902613997169871,"LOC_Os04g19160(0kb,hypothetical protein)",,82
LowWater,Lo-L08,4,12574012,12574012,1,suggestive(1/M),ud4000884,1.28367183258732e-05,0.405679970149884,"LOC_Os04g22200(0kb,retrotransposon protein, putative, Ty3-g)","LOC_Os04g22120(34kb,protein kinase, putative, expressed); LOC_Os04g22380(88kb,short chain dehydrogenase/reductase prot); LOC_Os04g22390(96kb,short chain dehydrogenase/reductase prot)",83
LowWater,Lo-L09,4,23318160,23318160,1,significant(Meff),id4007764,2.03285540571401e-06,0.107408923454769,"LOC_Os04g39210(0kb,agmatine deiminase, putative, expressed)","LOC_Os04g39180(20kb,nodulation receptor kinase precursor, pu); LOC_Os04g39110(75kb,GASR4 - Gibberellin-regulated GASA/GAST/); LOC_Os04g39020(142kb,aldehyde dehydrogenase, putative, expres)",77
LowWater,Lo-L10,4,30523032,30523032,1,suggestive(1/M),id4010398,1.43002686309703e-05,0.18444077273266,"LOC_Os04g51520(0kb,glycosyl hydrolases family 16, putative,)","LOC_Os04g51560(22kb,WRKY68, expressed); LOC_Os04g51370(99kb,protein kinase, putative, expressed); LOC_Os04g51340(114kb,pectinacetylesterase domain containing p)",82
LowWater,Lo-L11,4,31052890,31318523,2,significant(Meff),id4010527,2.14988863356673e-06,0.201615003907267,"LOC_Os04g52250(1kb,LTPL123 - Protease inhibitor/seed storag)","LOC_Os04g52250(1kb,LTPL123 - Protease inhibitor/seed storag); LOC_Os04g52260(9kb,LTPL124 - Protease inhibitor/seed storag); LOC_Os04g52280(17kb,dehydrogenase, putative, expressed)",105
LowWater,Lo-L12,5,12013751,12013751,1,suggestive(1/M),id5005126,2.36800461077838e-05,0.182505376871396,"LOC_Os05g20470(0kb,expressed protein)",,74
LowWater,Lo-L13,5,26535244,26535244,1,significant(Meff),id5012689,5.82336077712068e-06,0.401543306193083,"LOC_Os05g45810(1kb,calcineurin B, putative, expressed)","LOC_Os05g45720(41kb,starch synthase, putative, expressed); LOC_Os05g45590(113kb,hexokinase, putative, expressed); LOC_Os05g46020(147kb,WRKY7, expressed)",90
LowWater,Lo-L14,9,3602266,3602266,1,significant(Meff),id9000853,2.29312528264249e-06,0.252803728448428,"LOC_Os09g07300(0kb,BIG, putative, expressed)",,71
LowWater,Lo-L15,10,13759337,13759337,1,suggestive(1/M),id10003630,2.43472004485429e-05,0.388359706411282,"LOC_Os10g26430(0kb,agenet domain containing protein, expres)","LOC_Os10g26470(19kb,sucrose transporter, putativ, expressed); LOC_Os10g26520(64kb,protein kinase domain containing protein); LOC_Os10g26570(90kb,phosphofructokinase, putative, expressed)",66
LowWater,Lo-L16,10,15505936,15670486,3,significant(Meff),wd10003530,2.88476582303798e-06,0.49686264553335,"LOC_Os10g30156(3kb,starch synthase, putative, expressed)","LOC_Os10g30156(3kb,starch synthase, putative, expressed); LOC_Os10g30150(6kb,universal stress protein domain containi); LOC_Os10g30330(81kb,expansin precursor, putative, expressed)",114
LowWater,Lo-L17,10,22069724,22069724,1,significant(Meff),id10006993,1.08835837307451e-06,0.0835407385717971,"LOC_Os10g41100(0kb,CCT motif family protein, expressed)","LOC_Os10g41170(47kb,dehydrogenase, putative, expressed); LOC_Os10g41200(59kb,MYB family transcription factor, putativ); LOC_Os10g41220(67kb,protein kinase family protein, putative,)",77
LowWater,Lo-L18,11,23443609,23443609,1,significant(Meff),id11009218,4.5270274209253e-06,0.135101554377868,"LOC_Os11g39380(0kb,expressed protein)","LOC_Os11g39370(7kb,BRASSINOSTEROID INSENSITIVE 1-associated); LOC_Os11g39450(45kb,cysteine-rich receptor-like protein kina)",74
GxE,Gx-L01,1,1227512,1248796,2,suggestive(1/M),id1001106,1.18956104815068e-05,0.249283667621777,"LOC_Os01g03144(0kb,white-brown complex homolog protein 7, p)","LOC_Os01g03370(129kb,senescence-induced receptor-like serine/); LOC_Os01g02870(215kb,auxin-induced protein 5NG4, putative, ex); LOC_Os01g03570(219kb,transcription factor X1, putative, expre)",80
GxE,Gx-L02,1,4091647,4403404,4,significant(Meff),id1003619,2.62955220031296e-06,0.397061811252548,"LOC_Os01g08700(0kb,GIGANTEA, putative, expressed)","LOC_Os01g08700(0kb,GIGANTEA, putative, expressed); LOC_Os01g08710(8kb,WRKY102, expressed); LOC_Os01g08660(17kb,aquaporin protein, putative, expressed)",122
GxE,Gx-L03,1,29122484,29122484,1,significant(Meff),id1017178,2.58356912325143e-06,0.403573449163214,"LOC_Os01g50700(0kb,dehydrin family protein, expressed)","LOC_Os01g50700(0kb,dehydrin family protein, expressed); LOC_Os01g50720(10kb,MYB family transcription factor, putativ); LOC_Os01g50960(158kb,RNA polymerase II transcriptional coacti)",85
GxE,Gx-L04,3,5451876,5451876,1,suggestive(1/M),id3003216,1.64550518898909e-05,0.246237369929121,"LOC_Os03g10670(2kb,expressed protein)","LOC_Os03g10650(8kb,cyclin, putative, expressed); LOC_Os03g10500(105kb,adenylyl-sulfate kinase, putative, expre); LOC_Os03g10940(164kb,casein kinase II subunit alpha-2, putati)",84
GxE,Gx-L05,4,13313535,13343581,2,significant(Meff),id4003908,5.54729510493666e-06,0.337298203927598,"LOC_Os04g23360(2kb,retrotransposon protein, putative, uncla)","LOC_Os04g23700(209kb,lectin protein kinase family protein, pu); LOC_Os04g23720(223kb,lectin protein kinase family protein, pu); LOC_Os04g23760(243kb,lectin protein kinase family protein, pu)",64
GxE,Gx-L06,5,23930330,23930330,1,significant(Meff),id5010879,2.41753208117996e-06,0.286472309394946,"LOC_Os05g40810(1kb,BRCA1 C Terminus domain containing prote)","LOC_Os05g40790(7kb,CCR4-NOT transcription factor, putative,); LOC_Os05g40960(85kb,Myb transcription factor, putative, expr); LOC_Os05g41030(115kb,LTPL67 - Protease inhibitor/seed storage)",94
GxE,Gx-L07,5,27914133,27914133,1,significant(Meff),id5013730,5.86034451941279e-06,0.238460739047167,"LOC_Os05g48700(1kb,gibberellin 2-beta-dioxygenase, putative)","LOC_Os05g48700(1kb,gibberellin 2-beta-dioxygenase, putative); LOC_Os05g48690(12kb,transcription factor like protein, putat); LOC_Os05g48650(30kb,transcription factor HBP-1b, putative, e)",86
GxE,Gx-L08,10,5173924,5173924,1,suggestive(1/M),wd10000983,1.28029856905609e-05,0.456468347897275,"LOC_Os10g09590(7kb,expressed protein)","LOC_Os10g09550(13kb,OsWAK106 - OsWAK receptor-like protein k); LOC_Os10g09620(25kb,OsWAK108 - OsWAK receptor-like protein k); LOC_Os10g09690(64kb,OsWAK109 - OsWAK receptor-like protein k)",80
GxE,Gx-L09,10,17940464,17940464,1,suggestive(1/M),ud10001031,2.09455811914117e-05,0.487825949230393,"LOC_Os10g33820(0kb,expressed protein)","LOC_Os10g33800(23kb,lactate/malate dehydrogenase, putative, ); LOC_Os10g33940(111kb,auxin response factor 18, putative, expr); LOC_Os10g33650(196kb,CK1_CaseinKinase_1.9 - CK1 includes the )",53
